,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
13,13,13,13,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000013_RGB.png,"[948.0, 522.0, 1.0]","[966.0, 504.0, 1.0]","[930.0, 504.0, 1.0]","[996.0000000000001, 522.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1044.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 990.0, 1.0]","[888.0, 996.0000000000001, 0.0]","[1026.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[1.5704018441515253, -1.359116753320107, 0.7089202801366806]","[0.030042206926690736, -9.994148006727462, 2.256010661992626]"
14,14,14,14,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000014_RGB.png,"[948.0, 522.0, 1.0]","[966.0, 504.0, 1.0]","[930.0, 504.0, 1.0]","[996.0000000000001, 522.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1044.0, 660.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 983.9999999999999, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[948.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[936.0, 1068.0, 0.0]","[924.0, 1074.0, 0.0]","[4.5845235388543175, -1.1690062269679902, 0.5911103532549272]","[0.03864775685041556, -9.981956535077558, 2.2967564529012963]"
15,15,15,15,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000015_RGB.png,"[948.0, 522.0, 1.0]","[972.0, 504.0, 1.0]","[930.0, 504.0, 1.0]","[996.0000000000001, 522.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 660.0, 1.0]","[840.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 846.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1026.0, 990.0, 1.0]","[888.0, 1002.0, 0.0]","[954.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[5.119371147455404, -1.131017504909788, 0.5686886513011992]","[-0.2359566101900243, -9.974914090978736, 1.844534608120175]"
16,16,16,16,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000016_RGB.png,"[942.0, 528.0, 1.0]","[966.0, 510.0, 1.0]","[930.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 528.0, 1.0]","[1044.0, 660.0, 1.0]","[846.0, 660.0, 1.0]","[1098.0, 858.0, 1.0]","[798.0, 846.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 983.9999999999999, 0.0]","[888.0, 996.0000000000001, 0.0]","[1026.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[936.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[7.554727459155241, -1.0669625102641793, 0.3889841646876916]","[-0.31879577239317197, -9.92103580327978, 1.7573775700564083]"
17,17,17,17,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000017_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[930.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1050.0, 660.0, 1.0]","[840.0, 660.0, 1.0]","[1098.0, 858.0, 1.0]","[798.0, 858.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[893.9999999999999, 972.0, 1.0]","[1026.0, 983.9999999999999, 1.0]","[870.0, 983.9999999999999, 0.0]","[1092.0, 972.0, 0.0]","[846.0, 1080.0, 0.0]","[954.0, 1074.0, 0.0]","[930.0, 1080.0, 0.0]","[8.900522490625766, -0.9929487991782009, 0.3357910570252149]","[-0.2768328687153156, -9.916805348572206, 1.940869500667517]"
18,18,18,18,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000018_RGB.png,"[942.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[840.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[798.0, 846.0, 1.0]","[1002.0, 972.0, 1.0]","[888.0, 972.0, 1.0]","[1014.0, 983.9999999999999, 0.0]","[888.0, 996.0000000000001, 0.0]","[948.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[11.464656015177638, -0.8962104207351557, 0.18212263836563758]","[-0.41431347580227906, -9.916687373865605, 1.7131391969830754]"
19,19,19,19,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000019_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 516.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[840.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[804.0, 846.0, 1.0]","[1008.0, 972.0, 1.0]","[893.9999999999999, 972.0, 1.0]","[1014.0, 983.9999999999999, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[954.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[12.581995737081444, -0.7732678412689838, 0.2651530471800117]","[-0.528039489755022, -9.840242907278252, 1.6241604342333262]"
20,20,20,20,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000020_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 516.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[840.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[798.0, 840.0, 1.0]","[1002.0, 972.0, 1.0]","[893.9999999999999, 972.0, 1.0]","[1020.0, 983.9999999999999, 1.0]","[888.0, 990.0, 1.0]","[1038.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[924.0, 1074.0, 0.0]","[13.313715345966, -0.4170206729617324, 0.36767668358037525]","[-0.5447018903988777, -9.820772541468909, 1.658180552713482]"
21,21,21,21,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000021_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[840.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[893.9999999999999, 972.0, 1.0]","[1008.0, 983.9999999999999, 0.0]","[888.0, 996.0000000000001, 0.0]","[1038.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[13.670488828797632, -0.30275010763685506, 0.3844563101845525]","[-0.40031325632796594, -9.837531511657723, 2.241454532931382]"
22,22,22,22,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000022_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 516.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[840.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[798.0, 846.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 983.9999999999999, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[1038.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[13.783468194356754, -0.25568227809703425, 0.3832150854807477]","[-0.5223544678244787, -9.764183550828132, 1.7425633929849011]"
23,23,23,23,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000023_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 516.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[846.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[798.0, 846.0, 1.0]","[1002.0, 972.0, 1.0]","[876.0, 972.0, 1.0]","[1026.0, 983.9999999999999, 1.0]","[893.9999999999999, 996.0000000000001, 1.0]","[1044.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[930.0, 1074.0, 0.0]","[13.70191174897362, -0.2609229690084233, 0.3668194343653879]","[-0.5838734787337662, -9.735798134834097, 1.7613737114110042]"
24,24,24,24,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000024_RGB.png,"[948.0, 534.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[846.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[792.0, 846.0, 1.0]","[1002.0, 972.0, 1.0]","[893.9999999999999, 972.0, 1.0]","[1020.0, 983.9999999999999, 1.0]","[888.0, 996.0000000000001, 0.0]","[948.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[12.67530312824272, -0.23240022154281947, 0.5182955849910927]","[-0.6617752628496791, -9.72775172331526, 1.7503307806197936]"
25,25,25,25,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000025_RGB.png,"[948.0, 528.0, 1.0]","[972.0, 510.0, 1.0]","[924.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[846.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[798.0, 840.0, 1.0]","[1002.0, 972.0, 1.0]","[893.9999999999999, 966.0000000000001, 1.0]","[1014.0, 983.9999999999999, 1.0]","[893.9999999999999, 996.0000000000001, 1.0]","[954.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[11.458898792712699, -0.1136403130188153, 0.6891117114016463]","[-0.65855783041002, -9.716737825025097, 1.72421572179022]"
26,26,26,26,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000026_RGB.png,"[948.0, 528.0, 1.0]","[972.0, 510.0, 1.0]","[930.0, 510.0, 1.0]","[996.0000000000001, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1050.0, 666.0, 1.0]","[846.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[882.0, 966.0000000000001, 1.0]","[1008.0, 948.0, 0.0]","[893.9999999999999, 996.0000000000001, 1.0]","[1038.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[936.0, 1074.0, 0.0]","[930.0, 1074.0, 0.0]","[8.781063842726732, -0.050068238565212024, 0.9314567340344718]","[-0.6940391825149096, -9.686958358833813, 1.7303833207136097]"
27,27,27,27,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000027_RGB.png,"[948.0, 522.0, 1.0]","[972.0, 498.00000000000006, 1.0]","[930.0, 504.0, 1.0]","[996.0000000000001, 522.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1044.0, 660.0, 1.0]","[846.0, 660.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 846.0, 1.0]","[1008.0, 972.0, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 983.9999999999999, 1.0]","[888.0, 1002.0, 0.0]","[1038.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[948.0, 1074.0, 0.0]","[930.0, 1074.0, 0.0]","[5.285813191765692, -0.1637950795966083, 1.1963168363708159]","[-0.6882950308696683, -9.652678490001453, 1.6881547091762443]"
28,28,28,28,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000028_RGB.png,"[948.0, 522.0, 1.0]","[972.0, 498.00000000000006, 1.0]","[930.0, 498.00000000000006, 1.0]","[996.0000000000001, 522.0, 1.0]","[893.9999999999999, 516.0, 1.0]","[1050.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 852.0, 1.0]","[798.0, 840.0, 1.0]","[1008.0, 972.0, 1.0]","[876.0, 972.0, 1.0]","[1014.0, 983.9999999999999, 1.0]","[893.9999999999999, 996.0000000000001, 1.0]","[1038.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[948.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[-0.015106008567464921, -0.5410860665960854, 1.4651057246918486]","[-0.606629199549894, -9.59247040598238, 1.3697144063757536]"
29,29,29,29,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000029_RGB.png,"[948.0, 516.0, 1.0]","[966.0, 498.00000000000006, 1.0]","[930.0, 498.00000000000006, 1.0]","[1002.0, 516.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1044.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[996.0000000000001, 972.0, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 990.0, 0.0]","[888.0, 996.0000000000001, 0.0]","[1026.0, 1080.0, 0.0]","[912.0, 1080.0, 0.0]","[942.0, 1080.0, 0.0]","[924.0, 1074.0, 0.0]","[-3.28020158065607, -0.8883025082787568, 1.5104495876670376]","[-0.6652038024643735, -9.609703798148718, 1.3350605345346176]"
30,30,30,30,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000030_RGB.png,"[948.0, 510.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[930.0, 491.99999999999994, 1.0]","[1002.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1044.0, 654.0, 1.0]","[846.0, 648.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 834.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1014.0, 990.0, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[1038.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-4.405017511199369, -1.0548197873496212, 1.4959178547082725]","[-0.6517548938695334, -9.587664588585996, 1.3647835305889073]"
31,31,31,31,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000031_RGB.png,"[948.0, 510.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[930.0, 491.99999999999994, 1.0]","[1002.0, 510.0, 1.0]","[893.9999999999999, 516.0, 1.0]","[1044.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 972.0, 1.0]","[888.0, 972.0, 1.0]","[1014.0, 990.0, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[1044.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-6.803497906601645, -1.5874586429634585, 1.4196172789288586]","[-0.5437768362870751, -9.508582481974765, 1.2806368734426954]"
